Customer ID,Age,Income,Education,Occupation,Income,Average Balance,Appraisal,Industri,Pelunasan Kredit
1234561427,2,1,1,4,3,3,3,3,1
1234561518,3,4,1,1,4,5,4,3,0
1234561282,5,4,4,3,4,3,3,4,1
1234561064,4,2,3,3,4,4,5,4,0
1234561043,1,3,4,3,2,4,1,2,1
1234561619,4,2,2,2,1,1,4,4,1
1234561804,4,3,2,4,4,5,4,2,0
1234561147,4,5,4,1,3,2,4,4,0
1234561638,3,4,4,5,5,2,3,1,1
1234561376,3,4,3,5,1,1,2,5,0
1234561737,1,4,1,4,5,2,2,2,0
1234561453,1,2,3,5,2,5,3,5,1
1234561992,3,1,3,4,1,1,2,5,0
1234561134,1,2,3,1,1,1,1,5,0
1234561520,3,4,2,2,1,5,3,4,1
1234561486,3,4,3,2,2,1,2,3,1
1234561038,2,3,2,2,4,4,4,5,1
1234561784,1,2,5,2,4,3,2,1,0
1234561458,4,4,2,2,2,3,3,5,1
1234561307,4,2,4,4,2,4,3,4,0
1234561091,4,5,5,1,1,5,3,2,1
1234561248,2,2,5,3,3,1,2,4,0
1234561581,3,4,1,1,1,5,1,4,0
1234561287,1,5,3,2,4,5,3,3,0
1234561729,2,3,3,1,3,4,3,4,1
1234561660,3,5,1,3,2,5,4,4,0
1234561977,4,4,4,2,4,2,2,5,0
1234561291,1,3,1,5,4,3,4,3,0
1234561579,3,2,3,2,4,1,1,2,1
1234561253,5,4,3,5,1,5,3,2,0
1234561748,1,3,4,5,3,4,3,1,0
1234561305,3,1,4,5,3,4,2,4,0
1234561218,3,3,2,1,5,3,1,5,1
1234561971,3,5,5,4,3,4,3,2,0
1234561128,1,3,1,1,5,4,1,5,0
1234561499,3,5,4,4,3,1,1,5,0
1234561502,5,5,3,4,3,3,3,1,1
1234561860,3,1,4,3,1,1,3,1,1
1234561211,2,3,5,1,1,5,3,2,1
1234561782,1,5,4,1,5,3,1,1,0
1234561485,3,5,5,3,1,5,2,5,1
1234561489,3,3,4,5,3,2,3,2,1
1234561196,4,1,2,1,4,4,4,5,0
1234561497,5,5,1,5,2,4,2,4,0
1234561921,1,5,3,2,4,4,1,2,0
1234561112,4,3,4,5,3,3,2,4,0
1234561142,2,5,1,2,1,1,2,4,0
1234561613,5,2,4,1,1,5,5,4,0
1234561110,2,1,1,2,5,2,2,3,1
1234561973,4,4,2,4,1,2,2,1,0
1234561293,3,5,4,5,4,3,1,1,0
1234561946,2,1,4,4,4,5,2,5,1
1234561769,1,5,3,4,2,1,3,5,0
1234561338,1,4,4,2,5,5,1,4,0
1234561517,4,3,2,3,4,3,1,1,0
1234561187,5,1,5,5,5,2,5,2,1
1234561509,2,5,5,5,5,5,3,1,0
1234561696,5,3,1,3,5,3,2,3,1
1234561819,2,3,3,5,5,4,4,5,1
1234561292,5,1,5,1,2,3,3,1,1
1234561905,1,2,1,3,4,1,1,2,1
1234561526,2,5,5,1,4,2,4,1,1
1234561829,1,4,3,3,3,5,2,2,1
1234561981,5,1,1,2,2,4,3,1,1
1234561018,2,5,1,1,3,1,3,1,1
1234561949,3,1,4,1,1,5,1,3,1
1234561795,3,4,4,3,4,1,5,5,1
1234561365,4,1,5,3,3,3,5,5,1
1234561926,4,5,1,4,2,4,1,3,1
1234561155,1,4,4,2,4,2,4,2,0
1234561167,3,2,3,4,2,2,4,2,0
1234561330,3,2,2,3,2,4,4,5,1
1234561277,1,2,3,1,2,1,1,1,0
1234561898,5,4,4,1,3,2,3,2,1
1234561948,1,2,4,1,1,3,3,3,0
1234561354,3,4,3,4,4,3,1,4,1
1234561084,1,3,5,1,4,1,1,1,1
1234561377,3,1,3,2,4,3,1,4,0
1234561378,4,1,3,5,5,4,4,2,0
1234561958,5,3,3,3,1,1,5,1,0
1234561029,4,4,4,5,5,2,4,1,1
1234561511,4,4,1,1,3,5,2,5,0
1234561146,5,5,1,4,1,3,5,3,0
1234561865,4,3,1,3,2,1,3,1,1
1234561714,3,5,1,5,4,2,5,5,0
1234561464,4,3,5,5,5,5,1,2,0
1234561445,5,2,4,5,1,1,2,5,1
1234561469,3,4,2,3,1,3,5,5,1
1234561381,1,1,3,5,2,3,1,2,0
1234561162,2,5,4,5,2,4,2,1,1
1234561292,5,5,2,4,2,2,3,5,1
1234561447,5,3,4,1,3,1,5,4,1
1234561997,2,1,2,1,5,4,3,3,0
1234561371,4,3,4,4,5,2,3,3,0
1234561169,1,2,5,1,4,2,4,5,0
1234561597,3,5,4,3,3,4,4,1,1
1234561586,5,5,1,1,4,1,2,2,0
1234561159,2,5,3,1,3,1,4,2,1
1234561439,2,1,4,4,3,3,2,4,1
1234561635,5,2,2,3,1,4,5,4,1
1234561783,5,5,3,5,5,1,4,5,1
1234561393,2,1,5,3,3,3,5,3,0
1234561840,5,5,5,4,1,2,3,2,1
1234561818,2,5,4,1,3,1,2,2,1
1234561864,3,3,5,4,5,3,3,4,0
1234561693,4,4,4,2,5,3,1,1,1
1234561283,5,4,5,3,4,4,4,5,1
1234561037,3,4,3,2,4,1,3,5,1
1234561570,5,2,5,3,5,3,1,4,1
1234561494,2,5,4,3,1,4,3,4,1
1234561942,2,2,5,5,5,2,2,4,1
1234561416,2,3,3,1,2,1,2,2,0
1234561074,1,4,5,2,2,4,4,4,0
1234561743,1,1,1,3,2,1,4,2,0
1234561004,2,1,2,3,1,1,2,2,0
1234561842,3,5,4,4,3,2,1,1,0
1234561927,1,3,1,1,1,4,1,2,1
1234561924,5,3,3,5,3,2,5,5,0
1234561839,5,4,1,5,1,4,3,2,1
1234561777,5,5,4,5,1,1,4,3,0
1234561506,3,5,4,5,1,1,4,3,0
1234561399,5,1,3,5,1,1,2,3,0
1234561035,2,5,3,5,2,5,3,5,0
1234561978,4,1,1,5,1,3,2,5,0
1234561893,5,3,3,4,5,1,4,5,1
1234561023,4,5,2,2,2,3,3,4,1
1234561808,2,3,4,3,1,2,2,4,1
1234561834,1,3,4,3,4,4,2,2,1
1234561736,3,4,1,3,2,2,2,4,1
1234561524,5,3,1,1,5,3,4,4,1
1234561453,3,4,5,2,2,1,2,3,1
1234561012,3,5,1,5,2,2,4,4,0
1234561929,4,1,4,4,2,3,1,4,0
1234561240,2,3,2,4,1,2,4,1,0
1234561375,3,1,5,5,2,4,5,4,1
1234561058,2,1,5,4,1,4,5,5,1
1234561831,1,2,3,4,5,2,1,3,1
1234561553,1,1,5,2,1,1,2,5,0
1234561300,2,3,4,4,3,3,5,1,1
1234561114,2,5,2,3,3,2,3,2,0
1234561398,5,3,5,5,5,3,2,1,0
1234561859,5,2,2,3,5,2,3,2,1
1234561111,2,1,2,2,1,1,4,2,1
1234561427,3,3,1,3,4,4,2,4,1
1234561806,3,4,4,4,1,5,3,3,1
1234561181,5,3,1,2,5,2,3,3,1
1234561770,3,4,2,4,5,4,1,2,0
1234561961,2,2,3,3,3,1,5,4,0
1234561719,4,3,5,2,3,2,5,1,1
1234561506,2,5,2,2,1,2,4,4,0
1234561046,4,3,4,2,2,2,3,3,0
1234561359,3,1,1,4,5,2,3,5,1
1234561243,1,2,1,3,3,5,5,3,1
1234561380,5,2,1,2,3,4,1,2,0
1234561834,5,2,2,3,5,4,1,3,1
1234561931,1,3,3,4,3,4,1,1,1
1234561268,3,4,3,4,1,5,1,5,1
1234561975,2,1,5,5,4,1,5,1,0
1234561451,5,3,5,3,5,3,2,5,0
1234561709,1,5,1,5,4,5,2,2,1
1234561105,1,3,1,3,5,2,5,4,0
1234561564,2,2,3,4,3,4,3,2,1
1234561161,4,4,1,2,2,2,5,5,0
1234561959,5,5,5,2,1,3,2,2,1
1234561319,1,1,4,3,1,3,2,4,1
1234561318,5,1,4,5,4,4,3,3,0
1234561575,2,4,5,5,5,3,3,1,0
1234561796,5,2,5,2,2,3,4,5,1
1234561645,3,5,1,5,4,1,2,4,0
1234561842,5,3,3,2,4,3,4,4,0
1234561373,3,4,2,2,2,5,1,3,0
1234561040,2,2,3,1,2,2,3,3,1
1234561871,3,2,4,1,1,1,3,1,0
1234561362,2,5,4,5,3,1,1,5,1
1234561966,3,4,5,1,1,5,2,3,0
1234561273,3,5,5,1,2,3,2,4,1
1234561700,1,1,2,5,4,1,2,2,1
1234561756,4,1,2,5,2,2,4,4,1
1234561566,5,1,2,1,1,5,3,2,1
1234561867,1,3,3,3,5,4,2,5,1
1234561610,4,2,2,1,1,4,5,4,1
1234561494,3,4,4,4,5,4,5,5,0
1234561973,3,1,5,2,4,4,2,1,0
1234561049,4,3,2,5,4,2,2,2,0
1234561873,3,5,1,5,3,2,2,2,0
1234561943,4,3,1,2,2,5,1,4,1
1234561787,2,1,2,3,4,4,4,2,0
1234561079,3,5,5,4,1,5,4,2,1
1234561845,2,5,2,2,1,5,2,1,1
1234561446,5,3,3,2,4,2,4,4,0
1234561601,3,5,3,1,3,2,5,4,0
1234561827,4,3,1,4,2,5,4,5,0
1234561298,3,3,4,3,1,3,1,3,1
1234561255,3,4,3,4,5,4,3,3,1
1234561040,3,5,1,5,5,1,3,1,0
1234561326,2,1,1,2,2,2,5,3,1
1234561264,4,2,3,2,1,4,4,1,0
1234561681,5,1,1,2,1,5,3,2,1
1234561853,5,3,3,5,5,5,5,1,1
1234561169,4,5,3,3,3,3,2,2,0
1234561662,3,2,2,1,4,4,2,4,1
1234561623,3,3,3,5,3,1,4,2,1
1234561535,3,5,1,5,1,5,1,3,0
1234561086,1,1,1,3,4,2,5,1,0
1234561048,5,4,2,3,3,1,2,2,0
1234561167,2,1,2,3,5,2,2,5,1
1234561740,1,2,3,2,2,2,5,1,1
1234561895,4,4,4,4,1,5,1,5,1
1234561941,5,4,1,2,4,2,1,4,1
1234561188,5,5,5,3,1,3,3,5,1
1234561969,1,4,1,2,2,2,1,2,1
1234561774,1,1,4,2,5,3,1,3,1
1234561231,1,1,3,4,2,1,5,5,1
1234561675,4,4,5,4,3,4,4,5,1
1234561825,3,5,3,3,2,5,2,5,1
1234561306,5,5,4,4,5,2,5,2,0
1234561529,4,5,4,5,1,1,2,3,1
1234561793,1,5,4,1,3,3,2,1,0
1234561822,1,4,5,3,1,2,4,4,0
1234561386,2,3,4,4,1,4,2,1,0
1234561235,1,2,5,4,4,4,2,5,0
1234561299,1,5,4,5,1,1,5,3,0
1234561438,5,2,2,3,1,5,4,5,0
1234561888,1,1,3,5,3,2,2,2,0
1234561630,5,2,3,4,1,5,5,2,0
1234561361,2,2,1,1,2,3,2,3,0
1234561549,2,1,2,1,1,3,3,1,0
1234561109,5,4,1,1,5,1,3,1,1
1234561940,3,3,5,3,1,2,1,4,1
1234561020,5,1,2,1,3,1,4,5,1
1234561495,2,5,1,2,1,4,1,2,0
1234561943,4,2,2,5,3,4,1,5,1
1234561668,3,2,3,5,2,5,2,2,1
1234561374,2,2,3,3,1,4,5,3,0
1234561834,1,1,3,5,2,1,2,3,1
1234561234,4,5,2,5,2,3,2,1,1
1234561888,4,5,5,1,1,5,2,3,0
1234561517,4,4,2,5,4,1,4,4,1
1234561098,1,2,5,5,2,5,5,4,1
1234561436,4,1,3,2,2,2,3,2,1
1234561260,2,4,5,5,5,5,4,4,0
1234561540,4,4,1,4,2,2,3,4,1
1234561041,4,3,3,4,3,5,1,4,1
1234561538,1,4,1,2,3,3,5,1,0
1234561812,1,4,2,2,1,1,2,3,1
1234561252,4,2,3,1,3,3,3,5,1
1234561388,3,5,2,4,4,2,1,2,0
1234561250,4,4,1,1,1,3,4,3,1
1234561735,5,4,5,1,2,5,3,1,1
1234561011,1,5,4,5,2,3,3,3,1
1234561731,2,2,5,3,1,3,3,4,0
1234561506,5,2,5,2,4,3,5,2,0
1234561498,2,2,1,4,3,5,2,5,1
1234561135,1,3,4,3,4,3,5,4,1
1234561174,4,1,4,1,2,3,2,3,1
1234561439,1,3,2,4,2,2,1,3,0
1234561177,4,2,5,4,2,4,1,1,1
1234561745,5,2,4,4,3,3,5,5,0
1234561224,4,3,5,2,2,2,1,4,0
1234561455,5,3,4,1,4,4,5,5,0
1234561973,2,2,2,5,4,2,5,4,1
1234561358,4,5,5,5,2,4,5,1,1
1234561449,5,4,5,1,5,4,4,3,1
1234561693,5,3,1,5,2,3,4,3,0
1234561270,2,5,3,4,4,5,5,3,0
1234561880,4,2,3,1,2,3,5,2,0
1234561109,5,5,3,5,2,2,4,3,1
1234561931,2,1,5,4,3,1,5,4,1
1234561970,1,4,4,1,5,2,2,3,1
1234561363,5,1,1,1,2,2,2,3,1
1234561898,5,3,4,2,4,5,3,3,0
1234561306,5,4,4,3,4,2,2,1,0
1234561614,4,2,1,1,4,2,5,1,1
1234561149,1,5,1,5,4,1,5,1,1
1234561286,2,3,3,1,3,5,3,3,1
1234561774,1,1,2,2,4,4,3,1,1
1234561878,1,1,5,3,5,1,3,4,1
1234561236,3,4,3,2,2,4,1,3,1
1234561725,1,2,2,1,2,4,5,4,0
1234561984,2,5,4,4,1,1,4,2,1
1234561938,5,1,5,4,3,1,1,5,1
1234561670,3,2,4,5,3,2,5,2,1
1234561549,4,1,4,3,3,1,2,5,1
1234561643,4,5,5,2,4,3,2,2,1
1234561480,4,5,1,5,4,1,4,5,1
1234561011,3,3,2,4,2,1,2,1,0
1234561661,1,5,1,4,2,5,2,4,0
1234561284,3,4,4,4,4,4,2,1,1
1234561521,1,3,1,2,2,1,5,4,1
1234561662,2,3,4,5,1,2,3,4,0
1234561792,3,2,2,3,3,1,5,2,0
1234561470,1,1,2,1,4,2,1,1,1
1234561131,4,3,2,3,2,2,1,4,1
1234561447,2,4,1,5,5,3,5,2,1
1234561261,2,4,2,4,3,3,4,2,0
1234561219,3,1,3,3,3,2,3,5,1
1234561641,5,3,4,2,1,3,2,3,1
1234561248,5,1,4,1,4,1,1,4,0
1234561648,1,5,4,4,2,1,5,5,0
1234561512,3,2,2,1,4,1,2,4,1
1234561782,2,5,3,1,5,4,2,1,0
1234561238,4,2,4,5,5,3,3,5,1
1234561143,3,5,1,4,1,4,4,5,0
1234561178,2,4,4,3,5,1,3,4,1
1234561891,4,4,5,4,1,3,4,5,1
1234561025,1,2,2,5,4,4,3,3,1
1234561830,3,4,3,3,1,1,5,1,0
1234561920,4,4,3,1,4,3,2,3,1
1234561773,2,1,4,5,1,3,3,5,0
1234561455,2,1,3,4,4,2,2,4,0
1234561935,4,3,5,3,3,5,5,1,1
1234561717,5,3,3,2,1,1,5,5,0
1234561864,3,4,4,2,3,3,5,1,0
1234561068,4,1,4,5,4,2,4,5,1
1234561963,2,1,4,1,3,4,1,1,1
1234561978,2,5,3,1,5,1,2,2,0
1234561976,1,3,1,1,3,3,3,4,0
1234561729,5,2,1,3,4,2,3,2,1
1234561109,3,5,4,1,3,2,4,4,1
1234561336,2,5,1,2,5,4,1,1,0
1234561135,5,1,2,5,5,5,3,3,1
1234561803,3,2,1,5,4,5,2,3,0
1234561115,4,1,5,2,3,3,3,4,1
1234561762,3,3,4,1,5,5,2,5,0
1234561648,4,4,1,4,4,1,1,4,1
1234561848,5,2,4,3,2,1,5,4,1
1234561111,2,1,2,2,2,1,4,2,1
1234561511,1,1,4,1,3,5,2,3,0
1234561449,3,5,1,3,5,5,1,4,0
1234561583,3,5,2,5,2,5,3,5,0
1234561711,5,5,2,3,1,5,3,5,0
1234561817,2,2,2,3,4,1,3,5,0
1234561890,5,5,3,1,1,4,5,2,0
1234561290,2,2,1,3,5,4,1,5,0
1234561720,2,4,5,5,1,2,5,5,0
1234561435,3,4,2,3,3,3,5,1,1
1234561789,4,1,1,5,5,4,3,5,1
1234561758,4,3,3,2,4,1,4,2,1
1234561440,3,3,2,3,1,3,4,1,1
1234561017,5,2,3,2,4,5,1,4,0
1234561438,5,3,1,5,1,5,3,4,1
1234561004,5,1,4,1,3,2,5,2,1
1234561572,2,1,4,2,4,4,5,1,1
1234561776,1,3,3,1,4,5,3,1,0
1234561202,4,5,1,5,3,1,1,1,1
1234561841,4,2,3,3,2,1,5,3,0
1234561107,1,5,4,3,5,5,5,2,1
1234561411,1,1,3,2,3,4,2,5,1
1234561625,1,4,1,4,4,5,4,5,0
1234561772,5,1,4,3,1,1,4,5,1
1234561728,1,3,5,4,5,5,2,1,0
1234561912,2,4,5,1,3,3,5,5,0
1234561645,4,2,2,1,2,1,3,2,0
1234561563,3,4,1,3,4,5,4,2,1
1234561858,3,5,3,1,5,3,5,5,1
1234561261,1,2,4,4,2,5,2,2,1
1234561019,3,4,5,1,1,5,4,1,0
1234561680,2,4,2,3,1,1,4,1,0
1234561087,5,5,3,1,3,2,1,1,0
1234561332,2,4,1,2,4,2,4,2,0
1234561747,1,1,1,1,4,5,2,1,1
1234561135,5,1,2,5,3,3,2,3,1
1234561193,2,3,5,3,5,3,2,2,0
1234561352,1,4,1,2,3,3,4,4,0
1234561561,5,5,5,2,1,2,5,1,1
1234561132,4,3,5,1,4,4,4,2,0
1234561394,2,5,4,3,5,4,1,3,0
1234561308,2,1,2,3,3,2,3,2,0
1234561447,2,1,1,5,2,5,5,1,1
1234561385,3,5,1,1,4,5,1,5,1
1234561092,3,4,4,5,1,4,2,4,0
1234561314,4,3,5,5,1,3,3,2,1
1234561371,3,1,2,1,5,1,2,5,0
1234561520,3,1,1,1,1,5,1,1,0
1234561566,2,3,3,2,4,2,4,4,1
1234561841,1,1,5,5,5,1,5,4,0
1234561409,2,4,1,4,1,5,3,2,0
1234561990,3,4,1,4,1,5,5,5,0
1234561003,5,1,4,5,2,2,1,1,0
1234561626,5,5,5,5,1,1,4,5,0
1234561783,4,4,5,5,2,5,1,2,1
1234561948,2,4,2,2,1,2,2,2,1
1234561632,4,2,4,1,4,1,1,5,1
1234561496,5,3,1,1,5,1,1,5,0
1234561090,1,3,4,2,2,3,1,5,0
1234561348,2,4,3,1,1,1,5,2,1
1234561067,2,3,4,1,3,2,1,2,0
1234561149,5,5,2,1,3,5,1,3,1
1234561972,1,2,3,1,1,1,3,2,1
1234561290,3,2,2,5,1,2,3,5,0
1234561460,4,4,4,1,3,5,3,5,0
1234561118,3,3,2,4,5,2,3,2,0
1234561860,3,4,1,1,1,5,2,5,1
1234561387,5,1,4,2,5,2,1,3,0
1234561326,5,3,4,5,4,3,2,4,1
1234561465,2,3,2,3,3,2,4,5,1
1234561682,5,2,1,5,4,5,2,5,0
1234561707,1,3,5,4,3,4,4,3,0
1234561346,5,4,4,5,4,5,2,3,1
1234561868,1,4,3,4,4,1,1,4,1
1234561822,2,4,4,1,4,5,3,4,0
1234561136,3,5,5,2,4,3,1,4,1
1234561513,5,1,2,2,5,4,4,4,0
1234561190,1,2,2,5,4,1,3,5,1
1234561818,1,5,1,3,3,5,5,4,0
1234561533,1,2,3,1,1,2,3,1,1
1234561114,4,2,3,4,1,5,3,1,1
1234561989,4,1,5,4,5,3,3,3,1
1234561955,1,2,5,1,2,1,4,3,1
1234561365,1,1,2,1,5,1,2,3,1
1234561815,1,3,3,5,5,5,2,5,1
1234561399,2,2,5,5,1,4,3,3,0
1234561468,4,3,1,1,5,2,4,2,1
1234561411,5,5,1,3,3,5,2,4,1
1234561831,5,3,4,5,5,2,5,2,1
1234561202,2,4,2,4,3,1,4,3,0
1234561364,4,3,4,2,3,5,3,4,0
1234561406,5,1,2,1,2,4,3,1,1
1234561483,2,1,2,3,3,4,2,3,0
1234561626,5,4,2,3,2,2,2,1,0
1234561915,3,1,2,1,3,3,1,4,1
1234561427,2,3,3,4,4,5,2,4,1
1234561269,4,2,1,4,5,5,5,3,0
1234561516,1,3,2,2,4,5,3,2,0
1234561418,1,1,1,3,4,5,2,1,0
1234561957,5,4,3,1,1,3,1,2,0
1234561708,5,5,4,3,4,2,3,5,1
1234561194,1,4,3,5,4,5,5,4,0
1234561689,1,4,4,5,4,5,2,4,1
1234561084,1,5,1,2,1,2,2,4,1
1234561858,4,4,1,4,2,4,5,2,0
1234561816,5,5,3,2,4,4,1,3,0
1234561293,2,3,3,3,3,1,3,3,1
1234561582,3,5,3,3,3,5,2,2,0
1234561878,1,3,1,5,5,4,1,5,1
1234561111,3,5,3,4,4,4,4,1,0
1234561996,2,1,2,1,4,5,2,4,1
1234561736,1,2,5,1,2,4,1,4,0
1234561815,1,1,1,2,5,1,2,4,0
1234561627,1,5,2,1,5,1,5,5,1
1234561660,3,2,3,3,5,2,4,2,0
1234561611,1,4,4,2,4,3,4,5,0
1234561218,3,4,5,3,2,1,3,4,1
1234561169,1,4,2,2,4,3,5,2,1
1234561294,1,1,4,5,1,4,1,1,1
1234561245,1,4,3,2,2,5,2,4,1
1234561819,5,5,1,1,2,2,1,5,1
1234561185,3,3,3,5,5,4,1,3,0
1234561705,4,5,4,2,2,5,3,4,0
1234561948,5,5,4,4,5,3,4,2,1
1234561661,4,5,5,5,2,1,3,3,1
1234561102,4,2,2,1,3,3,1,4,1
1234561144,1,2,1,1,2,3,5,3,0
1234561193,5,5,1,4,4,2,4,1,1
1234561570,4,5,1,2,3,4,3,5,0
1234561866,4,3,1,4,5,2,4,2,1
1234561477,3,3,5,3,4,3,5,1,0
1234561525,2,1,1,4,2,2,4,4,0
1234561743,4,3,4,3,1,5,4,1,0
1234561247,2,4,5,1,4,3,2,1,1
1234561757,1,1,1,1,4,5,3,5,1
1234561972,4,3,2,5,3,1,1,4,1
1234561291,4,4,2,4,2,5,2,5,1
1234561732,1,5,3,5,1,3,1,2,0
1234561506,2,1,1,4,3,4,5,5,0
1234561513,5,5,1,4,2,3,2,4,1
1234561243,2,4,2,2,1,3,4,3,0
1234561586,4,2,5,2,5,5,3,1,1
1234561126,2,2,3,4,3,3,5,2,0
1234561071,1,1,5,3,1,4,2,5,0
1234561105,4,4,5,1,1,1,1,2,1
1234561176,4,4,5,5,1,4,5,5,1
1234561166,5,1,4,3,2,3,1,3,1
1234561894,1,2,4,5,2,5,1,1,0
1234561414,2,4,4,4,3,2,4,5,0
1234561037,1,3,2,3,1,3,5,5,0
1234561691,3,4,1,4,3,3,2,1,0
1234561040,3,3,1,4,3,5,2,4,0
1234561333,4,1,1,4,4,5,1,1,1
1234561280,2,4,1,1,2,3,4,2,0
1234561868,3,1,2,4,2,4,1,1,1
1234561885,4,3,2,3,4,3,3,4,0
1234561314,4,3,1,2,1,1,1,4,1
1234561426,3,5,3,1,5,2,1,4,0
1234561376,3,2,3,2,4,4,4,3,1
1234561133,4,5,2,4,2,1,5,3,1
1234561079,4,4,1,2,2,5,5,3,0
1234561258,1,4,2,4,2,1,3,1,0
1234561843,3,3,5,4,3,4,4,1,1
1234561458,1,4,1,4,5,2,2,3,0
1234561186,2,1,1,2,2,3,1,3,1
1234561660,4,4,5,5,3,3,3,2,0
1234561333,1,2,4,1,1,5,5,1,1
1234561770,5,2,2,3,4,1,1,4,1
1234561462,2,4,3,1,5,5,5,2,0
1234561782,2,2,2,3,1,1,3,4,1
1234561923,2,1,5,5,2,3,1,4,1
